Indexing events with TwoPass using cutoff of 5

	Computing event counts...  done. 201503 events
	Indexing...  done.
Sorting and merging events... done. Reduced 201503 events to 194130.
Done indexing in 3,84 s.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 194130
	    Number of Outcomes: 31
	  Number of Predicates: 35165
...done.
Computing model parameters ...
Performing 100 iterations.
  1:  ... loglikelihood=-691958.7236652086	0.09183486101943891
  2:  ... loglikelihood=-349693.6610671351	0.8746023632402495
  3:  ... loglikelihood=-223083.366348068	0.916770469918562
  4:  ... loglikelihood=-163972.27518967184	0.9303484315369994
  5:  ... loglikelihood=-131069.06091746829	0.9375989439363186
  6:  ... loglikelihood=-110413.8698083122	0.9426410524905336
  7:  ... loglikelihood=-96306.68776504467	0.9462588646322884
  8:  ... loglikelihood=-86056.16056794538	0.9491471590993682
  9:  ... loglikelihood=-78249.43529319235	0.9519163486399707
 10:  ... loglikelihood=-72083.0663167218	0.954154528716694
 11:  ... loglikelihood=-67070.23883244584	0.9561445735299227
 12:  ... loglikelihood=-62900.22786682504	0.9578666322585768
 13:  ... loglikelihood=-59365.85286830488	0.9593207049026565
 14:  ... loglikelihood=-56323.71911276767	0.9606159709780996
 15:  ... loglikelihood=-53671.35413293854	0.9620005657484008
 16:  ... loglikelihood=-51333.58503700293	0.9632511674764147
 17:  ... loglikelihood=-49254.025950913936	0.9644174032148405
 18:  ... loglikelihood=-47389.418063157216	0.9654149069740897
 19:  ... loglikelihood=-45705.864895461156	0.9664421869649583
 20:  ... loglikelihood=-44176.40238814668	0.9672858468608407
 21:  ... loglikelihood=-42779.296808767365	0.9680649915882146
 22:  ... loglikelihood=-41496.803459311224	0.9689433904209863
 23:  ... loglikelihood=-40314.29595174877	0.969772162201059
 24:  ... loglikelihood=-39219.625233669365	0.9704222765914156
 25:  ... loglikelihood=-38202.61730824395	0.971216309434599
 26:  ... loglikelihood=-37254.675747708905	0.9718713865302253
 27:  ... loglikelihood=-36368.47546021927	0.9724817992784226
 28:  ... loglikelihood=-35537.729087429165	0.9730425849739209
 29:  ... loglikelihood=-34757.00546609956	0.9735487809114505
 30:  ... loglikelihood=-34021.58544261289	0.9740202379120907
 31:  ... loglikelihood=-33327.346082725206	0.9745065830285405
 32:  ... loglikelihood=-32670.667145098876	0.9749184875659419
 33:  ... loglikelihood=-32048.355015782014	0.9753849818613123
 34:  ... loglikelihood=-31457.580316812742	0.9758365880408728
 35:  ... loglikelihood=-30895.826314800714	0.9761939028203054
 36:  ... loglikelihood=-30360.845975127366	0.9765859565366273
 37:  ... loglikelihood=-29850.62601400081	0.9770226746003782
 38:  ... loglikelihood=-29363.356652077393	0.9774345791377795
 39:  ... loglikelihood=-28897.406032831284	0.9777770058014025
 40:  ... loglikelihood=-28451.298473091894	0.9782087611598834
 41:  ... loglikelihood=-28023.69587796091	0.9785561505287762
 42:  ... loglikelihood=-27613.381784426387	0.9788390247291604
 43:  ... loglikelihood=-27219.247602271018	0.9791268616348143
 44:  ... loglikelihood=-26840.280702476994	0.9794494374773577
 45:  ... loglikelihood=-26475.554067142606	0.9796876473303127
 46:  ... loglikelihood=-26124.217265329185	0.9799308198885376
 47:  ... loglikelihood=-25785.488559452588	0.9801690297414927
 48:  ... loglikelihood=-25458.64797923196	0.9804221277102574
 49:  ... loglikelihood=-25143.03122670923	0.9806206359210533
 50:  ... loglikelihood=-24838.024297402073	0.9808489203634685
 51:  ... loglikelihood=-24543.05872059231	0.9811069810375032
 52:  ... loglikelihood=-24257.60733651266	0.9813352654799185
 53:  ... loglikelihood=-23981.180540488567	0.981543699101254
 54:  ... loglikelihood=-23713.322934386684	0.9817273191962402
 55:  ... loglikelihood=-23453.610334309622	0.9819010138806866
 56:  ... loglikelihood=-23201.647090701405	0.982124335617832
