Indexing events with TwoPass using cutoff of 5

	Computing event counts...  done. 1007707 events
	Indexing...  done.
Sorting and merging events... done. Reduced 1007707 events to 905210.
Done indexing in 39,15 s.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 905210
	    Number of Outcomes: 19
	  Number of Predicates: 104479
...done.
Computing model parameters ...
Performing 100 iterations.
  1:  ... loglikelihood=-2967131.7703708527	0.1905087490709105
  2:  ... loglikelihood=-1385179.8759501504	0.8596675422518649
  3:  ... loglikelihood=-866643.2625982218	0.9113879331988366
  4:  ... loglikelihood=-633970.3674082555	0.9342735537214686
  5:  ... loglikelihood=-506306.7931479628	0.9437137977606586
  6:  ... loglikelihood=-426653.5474351964	0.9491092152778536
  7:  ... loglikelihood=-372357.51245786384	0.9528116803793166
  8:  ... loglikelihood=-332917.95583962626	0.9555406482241365
  9:  ... loglikelihood=-302886.3753936281	0.9579788569494903
 10:  ... loglikelihood=-279179.1031127926	0.959998293154657
 11:  ... loglikelihood=-259927.79685658088	0.9618311671944325
 12:  ... loglikelihood=-243937.16442859045	0.9634963337557445
 13:  ... loglikelihood=-230407.79112768717	0.9648995194039537
 14:  ... loglikelihood=-218784.89079790938	0.9662421715836051
 15:  ... loglikelihood=-208671.2350284184	0.9674240627483981
 16:  ... loglikelihood=-199774.7215763965	0.9685305351654796
 17:  ... loglikelihood=-191875.54418556773	0.969417697803032
 18:  ... loglikelihood=-184804.93841528526	0.9702790592900515
 19:  ... loglikelihood=-178431.03749194	0.9710471396943754
 20:  ... loglikelihood=-172649.21606209475	0.9718152200986994
 21:  ... loglikelihood=-167375.33033530225	0.9725078817553118
 22:  ... loglikelihood=-162540.8822788728	0.9731181782006079
 23:  ... loglikelihood=-158089.497779668	0.9737195434784118
 24:  ... loglikelihood=-153974.32069198167	0.9743209087562158
 25:  ... loglikelihood=-150156.05605223993	0.9748468552863084
 26:  ... loglikelihood=-146601.4806809642	0.9753787559280624
 27:  ... loglikelihood=-143282.29535213063	0.9758342454701615
 28:  ... loglikelihood=-140174.23008743144	0.9762768344369941
 29:  ... loglikelihood=-137256.33947121757	0.9766628593430432
 30:  ... loglikelihood=-134510.44231897697	0.9770786548073994
 31:  ... loglikelihood=-131920.67220460542	0.9774478097304078
 32:  ... loglikelihood=-129473.11396477827	0.9777991023184318
 33:  ... loglikelihood=-127155.50747933678	0.9781067314209388
 34:  ... loglikelihood=-124957.00452587834	0.9784183299312201
 35:  ... loglikelihood=-122867.96782920821	0.9787160355142913
 36:  ... loglikelihood=-120879.8039080777	0.9790077869857012
 37:  ... loglikelihood=-118984.82319155073	0.9792866378818447
 38:  ... loglikelihood=-117176.12229420505	0.979565488777988
 39:  ... loglikelihood=-115447.4844188667	0.9798622020091158
 40:  ... loglikelihood=-113793.2946828344	0.980104335883347
 41:  ... loglikelihood=-112208.46780154612	0.9803802097236598
 42:  ... loglikelihood=-110688.38606062862	0.9806203588940039
 43:  ... loglikelihood=-109228.84589612551	0.9808356992657588
 44:  ... loglikelihood=-107826.01171134024	0.9810421084700215
 45:  ... loglikelihood=-106476.37580373055	0.9812544717859457
 46:  ... loglikelihood=-105176.72347231416	0.9814370645435627
 47:  ... loglikelihood=-103924.10253496941	0.981600802614252
 48:  ... loglikelihood=-102715.79661378496	0.9817685100927155
 49:  ... loglikelihood=-101549.30165187696	0.9819451487386711
 50:  ... loglikelihood=-100422.30521112925	0.9821217873846266
 51:  ... loglikelihood=-99332.66817099851	0.9822894948630901
 52:  ... loglikelihood=-98278.40850730467	0.9824383476546258
 53:  ... loglikelihood=-97257.68687814595	0.9825891851500486
 54:  ... loglikelihood=-96268.79378462741	0.9827251373663178
 55:  ... loglikelihood=-95310.13810787254	0.9828710131020227
 56:  ... loglikelihood=-94380.23685186788	0.9830238353013326
 57:  ... loglikelihood=-93477.70594575848	0.9831439098865047
 58:  ... loglikelihood=-92601.25197918744	0.983286808566379
 59:  ... loglikelihood=-91749.66476129257	0.9834436001734631
 60:  ... loglikelihood=-90921.81060853352	0.9835855065013938
 61:  ... loglikelihood=-90116.6262788337	0.9837085581423965
 62:  ... loglikelihood=-89333.11348009206	0.9838494721183836
 63:  ... loglikelihood=-88570.33389012111	0.983980462574935
 64:  ... loglikelihood=-87827.40463294066	0.9841104606795428
 65:  ... loglikelihood=-87103.49416308403	0.984211680577787
 66:  ... loglikelihood=-86397.81851519631	0.9843079387163134
 67:  ... loglikelihood=-85709.63788151435	0.9844101509665012
 68:  ... loglikelihood=-85038.25348390371	0.9845093861608583
 69:  ... loglikelihood=-84383.00471125085	0.9846006825396668
 70:  ... loglikelihood=-83743.26649587738	0.9847068641976289
 71:  ... loglikelihood=-83118.44690610054	0.9848199923191959
 72:  ... loglikelihood=-82507.98493410491	0.9849370898485373
 73:  ... loglikelihood=-81911.34846082379	0.985030370931233
 74:  ... loglikelihood=-81328.03238137197	0.9851196826061543
 75:  ... loglikelihood=-80757.55687633927	0.9852139560407936
 76:  ... loglikelihood=-80199.46581575119	0.9852973136040536
 77:  ... loglikelihood=-79653.32528387173	0.9853876176309185
 78:  ... loglikelihood=-79118.7222141978	0.9854560899150249
 79:  ... loglikelihood=-78595.26312512952	0.9855235698471877
 80:  ... loglikelihood=-78082.57294758118	0.9855940268351813
 81:  ... loglikelihood=-77580.2939368689	0.985666468527062
 82:  ... loglikelihood=-77088.08466166705	0.9857389102189426
 83:  ... loglikelihood=-76605.61906388924	0.985828221893864
 84:  ... loglikelihood=-76132.58558344713	0.9859115794571239
 85:  ... loglikelihood=-75668.68634289844	0.9859889829087225
 86:  ... loglikelihood=-75213.63638701948	0.9860564628408853
 87:  ... loglikelihood=-74767.16297317893	0.9861308892366532
 88:  ... loglikelihood=-74329.00490838075	0.9861814991857752
 89:  ... loglikelihood=-73898.91192955218	0.9862360785426716
 90:  ... loglikelihood=-73476.64412371605	0.9863015737709473
 91:  ... loglikelihood=-73061.97138510383	0.9863551607759001
 92:  ... loglikelihood=-72654.67290649076	0.9864216483561193
 93:  ... loglikelihood=-72254.53670223136	0.98648019712079
 94:  ... loglikelihood=-71861.35916073808	0.9865446999971221
 95:  ... loglikelihood=-71474.94462430755	0.9866072181695671
 96:  ... loglikelihood=-71095.1049943813	0.9866538587109149
 97:  ... loglikelihood=-70721.65936040907	0.9867004992522628
 98:  ... loglikelihood=-70354.43365079348	0.9867610327208206
 99:  ... loglikelihood=-69993.26030433175	0.9868185891335477
100:  ... loglikelihood=-69637.97796074866	0.9868751531943313
