Indexing events with TwoPass using cutoff of 5

	Computing event counts...  done. 1221507 events
	Indexing...  done.
Sorting and merging events... done. Reduced 1221507 events to 1092588.
Done indexing in 25,03 s.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 1092588
	    Number of Outcomes: 18
	  Number of Predicates: 117660
...done.
Computing model parameters ...
Performing 100 iterations.
  1:  ... loglikelihood=-3530609.3348922455	0.19113439382664202
  2:  ... loglikelihood=-1624338.6315369492	0.8708562456048143
  3:  ... loglikelihood=-1014922.1725151093	0.9161281924704484
  4:  ... loglikelihood=-743957.5346330393	0.9365030245426347
  5:  ... loglikelihood=-595714.765008926	0.9450842279250139
  6:  ... loglikelihood=-503284.1592963635	0.9498062639018852
  7:  ... loglikelihood=-440266.6200781905	0.9531333017330232
  8:  ... loglikelihood=-394466.3833734204	0.9557309127168325
  9:  ... loglikelihood=-359566.45558253577	0.9579936913992306
 10:  ... loglikelihood=-331994.7261331236	0.9597849214126485
 11:  ... loglikelihood=-309587.66357126564	0.9614639948850068
 12:  ... loglikelihood=-290961.20288329764	0.9630464663730949
 13:  ... loglikelihood=-275189.61454154307	0.9644954961371486
 14:  ... loglikelihood=-261630.37613307836	0.9657087515667123
 15:  ... loglikelihood=-249823.36576275327	0.9668401409079113
 16:  ... loglikelihood=-239430.16064241368	0.9678691976386545
 17:  ... loglikelihood=-230196.03538546807	0.9688016523851275
 18:  ... loglikelihood=-221925.35572480998	0.9696023027293336
 19:  ... loglikelihood=-214465.19752542482	0.9704070463779577
 20:  ... loglikelihood=-207694.17147515633	0.9711618517126795
 21:  ... loglikelihood=-201514.60734623304	0.9717815780015997
 22:  ... loglikelihood=-195846.96259153992	0.9723988483078689
 23:  ... loglikelihood=-190625.74777633988	0.972981734857025
 24:  ... loglikelihood=-185796.5100263991	0.9735621654235301
 25:  ... loglikelihood=-181313.5671039113	0.97407628445846
 26:  ... loglikelihood=-177138.2822675502	0.9745863101889715
 27:  ... loglikelihood=-173237.7344810095	0.9750480349273479
 28:  ... loglikelihood=-169583.68163748167	0.9754639146562402
 29:  ... loglikelihood=-166151.74372862733	0.9758806130460161
 30:  ... loglikelihood=-162920.7530578885	0.9762612903569116
 31:  ... loglikelihood=-159872.23271254092	0.9766206824848322
 32:  ... loglikelihood=-156989.97451996765	0.9769571521080108
 33:  ... loglikelihood=-154259.6949024917	0.9773001710182586
 34:  ... loglikelihood=-151668.75226480016	0.977616174119346
 35:  ... loglikelihood=-149205.91337749714	0.9779264465942479
 36:  ... loglikelihood=-146861.15906169685	0.9782015166511531
